Year,Commodity_Code,Crop_Name,County_Code,County,Harvested,Yield,Production,Price,Unit,Value
1980,261999,ALMONDS ALL ,19,Fresno,23992,0.59,14200,3000,TONS ,42600000
1981,261999,ALMONDS ALL ,19,Fresno,23820,0.75,17900,1500,TONS ,26850000
1982,261999,ALMONDS ALL ,19,Fresno,23642,0.69,16300,1800,TONS ,29340000
1983,261999,ALMONDS ALL ,19,Fresno,24301,0.48,11700,2300,TONS ,26910000
1984,261999,ALMONDS ALL ,19,Fresno,26300,0.94,24700,1800,TONS ,44460000
1985,261999,ALMONDS ALL ,19,Fresno,31156,0.6,18700,1300,TONS ,24310000
1986,261999,ALMONDS ALL ,19,Fresno,30685,0.4,12300,4000,TON ,49200000
1987,261999,ALMONDS ALL ,19,Fresno,30648,0.96,29400,2000,TONS ,58800000
1988,261999,ALMONDS ALL ,19,Fresno,30667,0.94,28800,2000,TON ,57600000
1989,261999,ALMONDS ALL ,19,Fresno,30375,0.73,22200,2200,TONS ,48840000
1990,261999,ALMONDS ALL ,19,Fresno,29367,0.93,27300,1800,TONS ,49140000
1991,261999,ALMONDS ALL ,19,Fresno,25783,0.76,19600,2300,TONS ,45080000
1992,261999,ALMONDS ALL ,19,Fresno,26706,0.82,21900,2540,TONS ,55626000
1993,261999,ALMONDS ALL ,19,Fresno,36503,0.65,23700,3840,TONS ,91008000
1994,261999,ALMONDS ALL ,19,Fresno,42016,0.92,38700,2640,TONS ,102168000
1995,261999,ALMONDS ALL ,19,Fresno,41568,0.55,22900,4800,TONS ,109920000
1996,261999,ALMONDS ALL ,19,Fresno,43771,0.71,31100,4160,TONS ,129376000
1997,261999,ALMONDS ALL ,19,Fresno,45529,1.19,54200,3400,TONS ,184280000
1998,261999,ALMONDS ALL ,19,Fresno,46968,0.76,35700,3360,TONS ,119952000
1999,261999,ALMONDS ALL ,19,Fresno,57125,1.08,61700,1820,TON ,112294000
2000,261999,ALMONDS ALL ,19,Fresno,57350,0.83,47600,2340,TON ,111384000
2001,261999,ALMONDS ALL ,19,Fresno,61896,1.06,65610,2120,TONS ,139093000
2002,261999,ALMONDS ALL ,19,Fresno,63450,1.24,78700,2300,TON ,181010000
2003,261999,ALMONDS ALL ,19,Fresno,65018,1.07,69600,2720,TON ,189312000
2004,261999,ALMONDS ALL ,19,Fresno,82700,1.04,86000,4337,TON ,372982000
2005,261999,ALMONDS ALL ,19,Fresno,88400,0.9,79600,5700,TONS ,453720000
2006,261999,ALMONDS ALL ,19,Fresno,99300,1.16,115000,4300,TONS ,494500000
2007,261999,ALMONDS ALL ,19,Fresno,116700,1.08,126000,3790,TON ,477540000
2008,261999,ALMONDS ALL ,19,Fresno,120400,1.32,159000,3460,TONS ,550140000
2009,261999,ALMONDS ALL ,19,Fresno,121000,1.16,140000,3376,Tons ,472640000
2010,261999,ALMONDS ALL ,19,Fresno,138000,1.23,170000,3419,Tons ,581230000
2011,261999,ALMONDS ALL ,19,Fresno,150000,1.47,221000,3496,Tons ,772616000
2012,261999,ALMONDS ALL ,19,Fresno,154000,1.34,206000,4251,Tons ,875706000
2013,261999,ALMONDS ALL,19,Fresno,162220.0,1.23,200000.0,5249.0,tons,1049800000
2014,261999,ALMONDS ALL,19,Fresno,171000.0,1.08,184000.0,6792.0,Tons,1249728000
2015,261999,ALMONDS ALL,19,Fresno,186000.0,1.0,186000.0,6300.0,Tons,1171800000
