Year,January_p,February_p,March_p,April_p,May_p,June_p,July_p,August_p,September_p,October_p,November_p,December_p,Total_p
1980.000,3.830,3.300,2.050,0.250,0.180,0.004,0.010,0.000,0.000,0.030,0.140,0.490,10.280
1981.000,2.670,1.290,2.590,1.010,0.004,0.000,0.000,0.000,0.000,0.580,1.220,0.650,10.010
1982.000,2.110,0.580,4.760,0.890,0.000,0.310,0.000,0.004,1.100,1.580,3.160,1.590,16.080
1983.000,5.140,3.700,4.530,2.760,0.010,0.000,0.000,0.090,1.030,0.090,2.510,1.750,21.610
1984.000,0.150,1.050,0.480,0.250,0.020,0.200,0.004,0.004,0.000,0.700,1.940,1.980,6.770
1985.000,0.430,0.710,1.730,0.120,0.000,0.330,0.040,0.020,0.430,0.850,3.020,0.720,8.400
1986.000,2.120,3.660,3.420,0.360,0.160,0.000,0.004,0.000,0.380,0.000,0.010,2.300,12.410
1987.000,1.930,1.360,2.390,0.070,0.870,0.010,0.000,0.000,0.004,0.850,0.520,1.190,9.190
1988.000,1.520,0.830,0.270,2.410,0.450,0.030,0.000,0.000,0.000,0.000,1.420,2.460,9.390
1989.000,0.480,1.180,2.250,0.050,0.890,0.000,0.000,0.030,1.110,0.420,0.500,0.000,6.910
1990.000,2.820,1.330,0.670,0.920,1.650,0.000,0.004,0.000,0.150,0.050,0.460,0.680,8.730
1991.000,0.130,1.010,7.240,0.020,0.030,0.004,0.000,0.004,0.004,0.800,0.040,1.220,10.490
1992.000,1.940,4.730,2.140,0.180,0.004,0.004,0.220,0.004,0.004,2.190,0.004,2.680,14.080
1993.000,5.180,2.440,1.760,0.200,0.250,1.610,0.000,0.000,0.000,0.120,1.160,1.030,13.750
1994.000,1.150,1.920,0.520,1.360,1.300,0.000,0.004,0.000,0.200,0.770,1.570,1.330,10.120
1995.000,5.420,0.930,5.880,1.080,1.190,0.660,0.010,0.004,0.000,0.000,0.004,2.120,17.290
1996.000,2.070,3.570,1.520,1.170,0.380,0.080,0.004,0.000,0.000,1.970,1.940,4.270,16.970
1997.000,3.530,0.170,0.100,0.004,0.004,0.010,0.004,0.000,0.150,0.070,2.660,0.990,7.680
1998.000,3.400,4.890,3.440,1.260,1.370,1.930,0.000,0.000,0.150,0.160,0.430,0.620,17.650
1999.000,2.820,1.180,0.490,0.930,0.030,0.200,0.000,0.010,0.004,0.004,0.480,0.030,6.170
2000.000,3.150,6.120,1.350,1.160,0.050,0.560,0.000,0.004,0.320,2.450,0.010,0.070,15.240
2001.000,2.660,2.220,0.960,1.870,0.000,0.000,0.080,0.000,0.004,0.290,1.990,1.950,12.020
2002.000,0.760,0.400,0.950,0.210,0.380,0.020,0.000,0.000,0.004,0.000,1.780,2.250,6.750
2003.000,0.400,1.220,0.630,2.840,0.680,0.000,0.004,0.040,0.004,0.004,0.400,2.930,9.140
2004.000,0.880,1.690,1.540,0.030,0.070,0.000,0.000,0.000,0.000,2.450,0.810,3.160,10.630
2005.000,2.420,2.300,2.510,0.560,1.620,0.010,0.000,0.004,0.040,0.050,0.170,2.000,11.680
2006.000,3.400,0.540,4.730,3.270,0.360,0.000,0.004,0.000,0.000,0.080,0.230,1.330,13.940
2007.000,0.590,2.290,0.970,0.490,0.050,0.000,0.004,0.020,0.020,0.200,0.090,2.310,7.030
2008.000,3.320,2.120,0.020,0.004,0.300,0.000,0.010,0.000,0.000,0.230,1.370,1.090,8.460
2009.000,1.020,2.430,0.240,0.720,0.460,0.200,0.000,0.004,0.010,1.390,0.200,2.410,9.080
2010.000,2.050,2.940,0.960,2.190,0.210,0.000,0.004,0.000,0.000,0.440,1.800,5.920,16.510
2011.000,1.720,1.600,3.460,0.320,0.350,1.910,0.004,0.000,0.004,0.900,0.670,0.000,10.930
2012.000,1.380,0.750,2.430,2.020,0.000,0.004,0.004,0.004,0.000,0.250,1.110,2.030,9.970
2013.000,0.580,0.890,0.650,0.090,0.070,0.004,0.004,0.004,0.010,0.030,0.540,0.150,3.010
2014.000,0.570,2.110,0.620,0.740,0.040,0.000,0.010,0.004,0.180,0.500,0.400,2.290,7.460
2015.000,0.210,1.130,0.060,1.250,0.570,0.010,0.430,0.000,0.120,0.490,1.740,2.970,8.980
