Year,January_p,February_p,March_p,April_p,May_p,June_p,July_p,August_p,September_p,October_p,November_p,December_p,Total_p
1889.000,0.570,0.200,1.880,0.150,0.220,0.000,0.000,0.000,0.000,2.040,0.220,1.750,7.030
1890.000,1.200,0.160,0.240,0.000,0.060,0.000,0.030,0.470,0.000,0.000,0.000,1.340,3.500
1891.000,0.200,1.200,0.250,0.270,0.220,0.020,0.000,0.000,0.120,0.000,0.200,1.080,3.560
1892.000,1.610,0.450,1.250,0.002,0.410,0.390,0.000,0.000,0.000,0.000,0.550,0.750,5.410
1893.000,0.610,0.880,2.300,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.970,5.280
1894.000,0.910,0.000,0.500,0.000,0.020,0.170,0.000,0.000,0.300,0.300,0.000,1.430,3.630
1895.000,2.530,0.400,1.150,0.290,0.310,0.000,0.000,0.000,0.000,1.060,0.540,0.330,6.610
1896.000,1.660,0.000,1.580,0.350,0.150,0.000,0.180,0.050,0.000,0.730,0.350,0.810,5.860
1897.000,0.970,2.130,0.720,0.290,0.000,0.000,0.000,0.000,0.000,0.620,0.120,0.310,5.160
1898.000,1.360,0.280,0.260,0.050,0.200,0.000,0.000,0.000,0.650,0.000,0.260,0.100,3.160
1899.000,0.820,0.150,0.580,0.160,0.080,0.000,0.000,0.002,0.002,0.570,1.080,0.770,4.210
1900.000,0.840,0.260,0.430,0.780,0.480,0.000,0.020,0.000,0.000,0.600,1.000,0.002,4.410
1901.000,1.500,1.400,0.140,0.300,1.090,0.000,0.000,0.000,0.160,0.130,0.000,0.100,4.820
1902.000,0.440,1.290,0.890,0.590,0.910,0.000,0.000,0.002,0.000,0.350,0.880,0.360,5.710
1903.000,1.270,0.590,0.820,0.490,0.002,0.220,0.000,0.000,0.000,0.000,0.150,0.130,3.670
1904.000,0.320,1.850,0.920,0.630,0.330,0.000,0.000,0.130,0.880,0.780,0.000,0.840,6.680
1905.000,1.110,1.460,2.120,0.002,1.080,0.000,0.000,0.000,0.002,0.000,2.500,0.320,8.590
