Year,January_t,February_t,March_t,April_t,May_t,June_t,July_t,August_t,September_t,October_t,November_t,December_t,Annual_t
1980.0,52.8,55.6,55.2,62.7,67.4,73.9,85.1,82.6,77.4,71.6,57.6,50.1,66.0
1981.0,51.8,54.7,57.0,65.2,72.1,84.5,86.6,85.0,80.3,65.0,59.6,51.4,67.8
1982.0,45.7,55.5,57.9,64.2,76.1,79.0,87.1,84.8,77.0,68.7,52.1,46.4,66.2
1983.0,44.6,53.8,55.8,58.2,69.8,75.8,79.0,82.9,79.8,69.0,57.2,50.6,64.7
1984.0,48.1,50.6,57.0,57.8,70.6,74.3,85.3,82.4,80.2,61.6,54.5,47.2,64.1
1985.0,43.4,51.9,53.9,65.9,67.7,80.7,84.6,79.0,70.8,64.6,53.2,43.3,63.3
1986.0,52.8,54.7,59.3,61.1,69.7,77.9,80.7,83.7,70.1,65.7,56.5,47.1,64.9
1987.0,44.9,51.8,56.6,67.3,72.2,78.2,76.8,80.9,76.4,71.5,53.8,47.0,64.8
1988.0,47.8,54.2,58.8,64.1,68.4,75.4,86.1,82.0,77.0,70.0,54.7,47.2,65.5
1989.0,45.0,50.6,60.1,68.8,69.6,77.0,82.5,79.8,74.9,66.8,56.0,44.2,64.6
1990.0,47.4,49.3,59.1,66.8,69.2,77.2,84.9,81.1,76.1,69.6,54.2,43.0,64.8
1991.0,48.5,57.2,53.0,59.9,66.2,76.0,84.6,79.6,81.3,72.1,56.1,48.2,65.2
1992.0,43.8,56.6,58.9,66.9,76.7,77.5,81.3,84.3,77.7,69.8,55.7,46.5,66.3
1993.0,48.7,54.0,61.0,61.9,71.0,77.1,80.9,81.2,77.4,69.2,56.1,46.9,65.5
1994.0,48.4,51.9,60.4,64.3,69.2,78.0,84.9,83.5,76.5,65.2,48.1,45.8,64.7
1995.0,53.7,54.7,57.2,60.5,66.5,74.2,80.7,82.7,77.2,68.3,59.9,52.0,65.6
1996.0,48.2,55.3,58.3,64.1,69.8,77.3,84.4,83.2,74.9,64.3,55.6,50.2,65.5
1997.0,49.8,50.8,59.7,62.7,73.9,75.5,81.0,80.2,77.6,64.0,56.9,46.2,64.9
1998.0,50.1,50.3,55.3,58.3,61.1,70.6,82.3,84.5,75.8,62.8,52.4,43.5,62.3
1999.0,44.3,50.3,52.7,57.8,66.5,73.6,80.1,77.6,77.0,69.1,56.6,47.5,62.8
2000.0,50.9,54.3,55.9,62.9,71.0,79.6,79.2,81.9,74.6,65.1,49.1,48.1,64.4
2001.0,47.8,49.9,59.2,58.7,76.9,79.4,82.1,82.6,77.4,69.5,57.6,48.5,65.8
2002.0,44.6,52.8,56.1,63.5,70.1,79.0,85.7,81.9,78.4,65.8,56.7,51.2,65.5
2003.0,50.6,51.5,58.1,59.2,71.1,80.2,87.5,82.1,81.2,72.5,54.5,52.1,66.7
2004.0,48.9,53.2,65.2,67.2,71.2,77.4,83.9,82.3,76.5,64.8,52.4,46.4,65.8
2005.0,48.7,54.0,58.0,60.1,69.2,73.8,87.7,84.8,73.5,65.9,57.9,52.1,65.5
2006.0,49.7,53.6,52.4,60.3,72.6,81.2,87.9,81.1,77.0,63.9,55.4,48.2,65.3
2007.0,44.4,52.7,61.5,64.0,72.8,78.9,83.5,83.0,74.1,64.5,57.7,46.3,65.3
2008.0,48.9,52.4,58.0,62.2,70.7,79.7,84.8,85.0,78.9,67.9,57.7,45.7,66.0
2009.0,50.2,55.1,59.4,63.4,76.5,77.0,86.5,82.7,80.9,64.4,55.4,48.2,66.6
2010.0,49.6,53.2,56.0,58.7,65.8,77.7,84.0,81.3,77.5,68.6,54.6,52.5,65.0
2011.0,47.0,49.8,56.0,61.3,66.3,76.1,83.7,83.0,80.3,67.1,53.3,45.6,64.1
2012.0,51.8,54.6,57.7,63.4,71.7,77.4,83.0,87.0,81.0,68.2,58.3,50.2,67.0
2013.0,46.7,51.3,60.5,66.7,72.7,80.4,87.6,82.7,76.9,65.8,58.2,47.7,66.5
2014.0,54.2,56.9,62.2,66.7,73.8,81.5,87.3,85.0,80.9,71.3,59.4,53.7,69.5
2015.0,50.3,58.9,64.3,65.5,69.9,83.2,84.5,84.0,80.4,72.6,53.5,47.8,68.0
