FRESNO MONTHLY RAINFALL BY YEAR,,,,,,,,,,,,,
1878-PRESENT,,,,,,,,,,,,,
Year,January,February,March ,April,May,June ,July ,August,September,October,November,December,Total
Norm,2.19,2.03,2.03,0.95,0.43,0.21,0.01,0.01,0.17,0.63,1.07,1.77,11.5
1878,3.2,1.78,1.91,0.78,T,0,0,0,0,0.2,0.56,0.22,8.65
1879,1.28,0.56,0.66,1.33,0.06,T,0,0,0,0.55,0.48,1.67,6.59
1880,0.46,2.54,0.61,1.97,0.15,0,0,0,0,0,0.44,3.05,9.22
1881,2.21,0.87,0.55,1,0.1,0,T,T,0.46,0.36,0.27,0.16,5.98
1882,0.42,1.04,1.26,1.23,0.1,0,0,0,0.34,0.05,0.73,0.7,5.87
1883,0,0.57,2.46,0.95,1.36,0,0,0,0,2,T,0.34,7.68
1884,2.29,3.18,2.81,2.85,1.11,1.19,0,0,0,0.35,0.08,3.98,17.84
1885,0.45,0,0.53,1.11,0.15,0,0,0,0,0.06,7.92,1.9,12.12
1886,2.38,0.58,1.21,2.57,0,0,0,0,0,0.47,0.7,0.34,8.25
1887,0.31,2.8,0.09,2.65,0.03,0.02,0,0,0.49,0.15,0.32,1.16,8.02
1888,1.75,0.13,1.95,0.22,0.56,T,T,T,0.06,0,2.38,1.71,8.76
1889,0.34,0.32,2.07,0.54,0.57,0,0,0,T,3.17,1.39,3.87,12.27
1890,2.12,0.8,1.04,0.17,0.45,0,0,T,1.26,0,0.22,2.3,8.36
1891,0.88,2.24,0.81,0.49,0.03,0.02,0,0,0.27,0,0.21,3.99,8.94
1892,0.48,1,1.69,0.79,1.44,0.06,0,0,T,0.34,0.39,2.56,8.75
1893,1.04,2.21,4.22,0.34,0,0,T,0,0.01,0.02,0.16,1.4,9.4
1894,2.27,2.02,0.29,0.1,1.16,1.16,T,T,0.75,0.37,0.27,4.09,12.48
1895,4.14,1.7,1.84,0.99,0.52,0,T,T,0.07,0.16,0.19,0.78,10.39
1896,2.89,0.06,1.21,2.82,0.02,0,0.07,0.15,0.06,1.28,1.46,1,11.02
1897,1.93,2.65,1.64,0.3,0,T,0,T,T,1.19,0.22,0.48,8.41
1898,0.42,1.15,0.71,0,0.79,0,0,0,1.12,0.03,0.34,0.43,4.99
1899,1.92,0.02,2.9,0.36,0.06,0.66,0,0,0,2.01,1.52,1.09,10.54
1900,1.52,0.08,0.88,1.21,1.97,T,T,0,0.16,0.33,4.61,0.33,11.09
1901,2.16,2.35,0.34,0.55,0.5,T,T,T,0.59,0.56,0.86,0.16,8.07
1902,0.41,2.44,1.14,0.7,0.01,T,0,T,0,0.42,2.25,0.54,7.91
1903,1.86,0.65,2.28,0.5,T,T,0,0,0,0,0.68,0.22,6.19
1904,0.57,2.49,2.75,1.21,0.12,0,0,0,1.78,3.21,0.08,1.12,13.33
1905,0.93,0.9,2.04,0.45,1.58,0,0,0,T,0,0.96,0.41,7.27
