Fresno Average Temperature,,,,,,,,,,,,,
Year,January ,Febuary ,March ,April ,May,June ,July,August ,September,October,November,December,Annual 
1887,-,-,-,-,-,-,-,-,74.6,67.7,55.6,46,-
1888,44.1,53,53.6,66.1,68,73.4,81.7,83,80.7,66.5,54.3,48.2,64.4
1889,43.8,50.5,58.4,63.5,69.6,79.5,82.6,82.2,75.6,62.8,54.1,49.1,64.3
1890,42.3,47.2,54.6,61.2,69.4,73.4,82.5,80.8,74.6,64.5,56.9,43.8,62.6
1891,45.4,48.5,54.4,59,67.1,73,83.6,83.6,74.6,67,56.2,43.9,63
1892,48.5,53.2,55.6,57.6,67.2,72.8,79.4,81.4,73.6,63.9,56.4,47.4,63.1
1893,42.8,48.4,52.2,55.9,66.9,73.2,80.8,82,68.4,60.8,52.8,48.4,61
1894,43.8,46.8,53,62.2,67.7,68.9,82.7,82,74,64,58.6,47.6,62.6
1895,45.3,52.6,53.7,60,67.4,77.2,79.4,80.6,70.3,66.6,52.8,43.6,62.5
1896,50.6,53.4,56.3,54.7,63.9,78.6,85,79.8,72.6,66.7,53.2,49.5,63.7
1897,43.7,49.2,48.6,63.5,71.7,74.3,82.8,81.1,72.8,61.2,52,45.2,62.2
1898,41.7,53.8,52.8,65.4,65.2,77.2,83.9,81.6,72.8,64.6,52.5,45.2,63.1
1899,50,51.2,54.4,61.1,63.2,78.3,81.8,75.1,77.3,60.4,54.4,43.8,62.6
1900,46.7,51.4,59.2,58.3,68.4,77.3,82.4,75.2,69.5,62.6,57.5,45.2,62.8
1901,47.8,51.7,55.6,58.4,65.7,74.3,82,82.4,70.6,67.2,58.6,46.6,63.4
1902,43.2,52.6,52,59,64.4,78.2,80.4,78.4,76,64.3,51.3,46.9,62.2
1903,43.8,45.8,54.8,57.5,67.8,77.2,77.4,80.2,73.6,67.7,55.2,45.6,62.2
1904,44.6,52.4,54.4,60.2,71.4,78,79.8,82.8,75.2,63.4,55.6,46,63.6
1905,49.2,53.6,57.8,62.4,63.8,74.4,82.4,80,73,63.6,52.6,43,63
1906,48.8,55.2,54,58,63.4,71.6,86,82.2,74,66,51.4,47.4,63.2
1907,46.6,53.9,52.8,62.3,66,72,79.8,77.9,69.6,64.8,55.4,48.6,62.5
1908,47.8,49.4,56.3,64.1,63.6,72.8,86.5,81.5,74.5,62,55.6,41.3,62.9
1909,51.9,49.6,52.1,62.6,65.6,74.9,79.4,80.7,74.3,64,53.8,45.2,62.8
1910,44.4,49.1,59.8,65.2,71,73.8,83.2,81.6,73.5,66.8,54.9,48.9,64.4
1911,50.5,47.4,58.1,59,64,75.2,84,77.2,69.8,63.8,53.4,44.7,62.2
1912,48.5,53,53.2,56.8,67.5,75.2,79.8,77.7,73.2,61.6,55.2,45.5,62.3
